position_id;RSSI_A1;SNR_A1;MCS_A1;RSSI_A2;SNR_A2;MCS_A2;RSSI_A3;SNR_A3;MCS_A3;RSSI_A4;SNR_A4;MCS_A4
7;-50;28;7;-53;28;7;-61;23;6;-56;28;5
7;-49;28;7;-53;27;7;-61;23;6;-54;27;5
7;-49;28;7;-53;28;7;-61;23;6;-54;27;5
7;-48;28;7;-53;27;7;-61;23;6;-54;28;5
7;-48;28;7;-53;28;7;-61;24;10;-55;28;5
7;-48;28;7;-52;27;7;-62;24;10;-55;28;5
7;-49;28;7;-52;27;7;-62;23;10;-55;28;5
7;-49;28;7;-52;27;7;-60;24;10;-55;27;5
7;-50;28;7;-52;27;7;-60;24;10;-54;27;5
7;-48;28;7;-52;27;7;-60;24;10;-54;27;5
7;-48;28;7;-52;27;7;-60;24;10;-56;28;5
7;-48;28;7;-52;28;7;-61;24;10;-55;27;5
7;-48;28;7;-52;27;7;-61;23;10;-54;27;5
7;-48;28;7;-53;27;7;-61;24;10;-54;27;5
7;-48;28;7;-52;27;7;-61;24;10;-54;27;5
7;-48;28;7;-52;27;7;-60;24;10;-53;27;5
7;-48;28;7;-53;28;7;-61;24;10;-54;27;5
7;-47;28;7;-53;28;7;-60;24;10;-54;27;5
7;-50;27;7;-53;27;7;-60;24;10;-54;28;5
7;-48;28;7;-52;27;7;-61;24;10;-54;28;5
7;-48;28;7;-53;27;7;-61;24;10;-54;27;5
7;-48;28;7;-53;27;7;-60;24;10;-54;27;5
7;-49;28;10;-53;27;7;-60;24;10;-55;27;5
7;-48;28;10;-52;28;7;-60;24;10;-55;27;5
7;-48;28;10;-52;27;7;-60;25;10;-56;28;5
7;-49;28;10;-52;27;7;-60;24;10;-55;27;5
7;-50;28;10;-52;27;7;-60;24;10;-54;27;5
7;-49;28;10;-52;27;7;-60;24;10;-55;27;5
7;-49;28;10;-51;27;7;-60;24;10;-55;28;5
7;-49;28;10;-52;28;7;-61;23;10;-54;28;5
7;-49;28;10;-51;27;7;-61;24;10;-54;27;5
7;-49;28;10;-52;28;7;-61;23;10;-54;27;5
7;-48;28;10;-51;28;7;-61;23;10;-56;27;5
7;-48;28;10;-51;27;7;-61;23;10;-55;28;5
7;-48;28;10;-52;27;7;-61;23;10;-54;28;5
7;-49;28;10;-51;27;7;-61;23;10;-55;27;5
7;-48;28;10;-51;27;7;-61;24;10;-55;27;10
7;-48;28;10;-52;27;7;-61;23;10;-55;27;10
7;-48;29;10;-52;28;7;-61;23;10;-55;28;10
7;-48;28;10;-52;28;7;-61;24;10;-54;27;10
7;-50;29;7;-52;27;7;-61;23;10;-54;27;10
7;-48;28;7;-52;27;10;-61;24;10;-54;27;10
7;-49;28;7;-52;28;10;-61;23;10;-55;27;10
7;-48;28;7;-53;28;10;-61;24;10;-55;28;10
7;-48;28;10;-53;27;10;-61;24;10;-54;28;10
7;-48;28;10;-53;27;10;-60;24;10;-54;27;10
7;-48;28;10;-52;28;10;-61;24;10;-55;27;10
7;-48;28;10;-52;27;10;-61;24;10;-55;28;10
7;-48;28;10;-53;27;10;-61;24;10;-55;27;10
7;-48;28;10;-53;27;10;-61;24;10;-54;28;10
7;-47;28;10;-53;28;10;-60;24;10;-54;28;10
7;-47;28;10;-53;28;10;-61;24;10;-55;27;10
7;-47;28;10;-53;27;10;-61;24;10;-55;27;10
7;-49;28;10;-53;27;10;-61;24;10;-54;28;10
7;-48;28;10;-53;27;10;-61;24;10;-55;28;5
7;-48;28;10;-52;28;10;-61;24;10;-55;28;5
7;-48;28;10;-52;27;10;-61;24;10;-55;27;5
7;-48;28;10;-53;27;10;-61;24;10;-56;27;5
7;-47;29;10;-53;27;10;-61;24;10;-54;27;5
7;-47;29;10;-52;27;10;-61;24;10;-54;27;5
7;-47;28;10;-52;28;7;-61;24;10;-54;28;5
7;-48;28;10;-52;27;7;-61;24;10;-54;28;5
7;-50;28;7;-52;27;7;-61;24;10;-54;27;5
7;-48;28;7;-53;27;7;-61;24;10;-54;28;5
7;-48;28;7;-53;27;7;-61;24;10;-55;27;5
7;-48;28;7;-53;28;7;-61;24;10;-54;27;5
7;-48;28;10;-53;27;7;-61;24;10;-54;27;5
7;-48;28;10;-53;27;7;-61;24;10;-55;27;5
7;-49;28;10;-53;27;7;-61;24;10;-55;27;5
7;-49;28;10;-53;27;7;-60;24;10;-55;27;5
7;-49;28;10;-53;27;7;-60;24;10;-55;28;5
7;-49;28;10;-52;28;7;-60;24;10;-55;27;5
7;-49;28;10;-53;28;7;-61;24;10;-55;27;5
7;-48;28;10;-53;28;7;-61;24;10;-55;27;5
7;-48;28;10;-52;28;7;-61;23;10;-54;27;5
7;-48;28;10;-52;28;7;-60;24;10;-55;27;5
7;-49;28;10;-52;28;7;-60;24;10;-56;28;5
7;-48;28;10;-53;28;7;-61;24;10;-55;28;5
7;-49;28;10;-52;28;7;-60;23;10;-55;27;5
7;-49;28;10;-52;28;7;-60;24;10;-55;27;10
7;-48;28;10;-53;27;7;-61;24;10;-54;27;10
7;-49;28;10;-53;27;7;-61;24;10;-55;27;10
7;-48;28;10;-52;28;7;-60;24;10;-56;28;10
7;-48;28;10;-53;27;7;-61;24;10;-55;27;10
7;-50;28;7;-53;27;7;-61;24;10;-54;27;10
7;-49;28;7;-53;28;10;-61;24;10;-54;27;10
7;-49;28;7;-53;27;10;-61;24;10;-55;27;10
7;-48;28;7;-53;27;10;-61;24;10;-55;27;10
7;-48;28;10;-53;27;10;-61;24;10;-55;27;10
7;-49;28;10;-53;27;10;-61;24;10;-55;27;10
7;-49;28;10;-53;27;10;-61;24;10;-55;27;10
7;-48;28;10;-53;28;10;-61;24;10;-54;27;10
7;-49;28;10;-53;28;10;-60;25;10;-54;27;10
7;-49;28;10;-52;28;10;-61;25;10;-54;27;10
7;-49;28;10;-53;28;10;-61;24;10;-55;27;10
7;-49;28;10;-53;27;10;-61;24;10;-55;27;10
7;-49;27;10;-53;27;10;-61;24;10;-55;28;10
7;-48;27;10;-52;28;10;-61;24;10;-55;27;10
7;-49;28;10;-52;27;10;-60;24;10;-56;27;5
7;-48;28;10;-53;27;10;-60;24;10;-54;27;5
7;-49;28;10;-53;27;10;-60;24;10;-55;27;5
7;-50;28;10;-53;27;10;-61;24;10;-54;27;5
7;-49;28;10;-53;27;7;-61;24;10;-55;27;5
7;-49;28;10;-53;27;7;-60;24;10;-54;27;5
7;-49;28;10;-52;27;7;-61;24;10;-53;27;5
7;-49;28;10;-52;27;7;-61;24;10;-55;27;5
7;-50;28;7;-52;28;7;-60;24;10;-54;27;5
7;-49;28;7;-52;27;7;-61;24;6;-54;27;5
7;-49;28;7;-53;28;7;-61;24;6;-55;27;5
7;-48;28;7;-53;28;7;-62;23;6;-55;27;5
7;-49;28;10;-52;28;7;-61;24;6;-54;28;5
7;-50;28;10;-52;28;7;-61;24;6;-53;27;5
7;-49;28;10;-52;28;7;-61;24;6;-54;27;5
7;-49;28;10;-51;28;7;-61;24;6;-55;27;5
7;-49;28;10;-52;28;7;-61;24;6;-54;27;5
7;-49;28;10;-52;27;7;-61;24;6;-55;27;5
7;-48;27;10;-52;27;7;-61;24;6;-55;27;5
7;-50;28;10;-53;27;7;-62;23;6;-54;27;5
7;-48;28;10;-52;27;7;-61;24;6;-55;27;5
7;-49;28;10;-52;27;7;-62;23;6;-55;28;5
7;-50;28;10;-53;28;7;-61;24;6;-56;26;5
