RSSI_5meters;RSSI_10meters;RSSI_15meters;RSSI_20meters;RSSI_25meters;RSSI_30meters;RSSI_35meters;RSSI_40meters
-54;-66;-65;-59;-59;-67;-64;-65
-48;-68;-65;-59;-59;-67;-64;-65
-49;-72;-66;-59;-58;-67;-66;-66
-48;-65;-67;-59;-58;-75;-65;-65
-52;-72;-68;-59;-58;-65;-66;-65
-50;-66;-66;-59;-58;-67;-67;-66
-50;-68;-65;-59;-58;-67;-65;-63
-48;-73;-67;-59;-58;-69;-66;-66
-51;-67;-66;-55;-58;-64;-63;-67
-51;-69;-69;-60;-58;-65;-63;-67
-51;-64;-71;-60;-59;-69;-61;-66
-53;-66;-67;-60;-59;-67;-63;-65
-52;-64;-66;-60;-59;-68;-65;-66
-52;-64;-67;-60;-59;-68;-65;-65
-52;-65;-65;-60;-59;-67;-65;-67
-53;-66;-67;-60;-59;-67;-64;-66
-52;-66;-66;-60;-58;-65;-62;-66
-53;-65;-66;-60;-59;-67;-62;-68
-53;-63;-68;-60;-59;-68;-64;-67
-53;-65;-68;-60;-59;-67;-62;-67
-53;-64;-66;-60;-59;-68;-62;-66
-52;-68;-67;-60;-59;-67;-63;-64
-54;-69;-66;-60;-59;-68;-63;-66
-53;-66;-67;-60;-59;-65;-62;-66
-53;-66;-66;-60;-59;-67;-64;-66
-54;-65;-68;-60;-59;-67;-64;-66
-53;-68;-68;-60;-59;-67;-63;-66
-53;-68;-68;-60;-59;-65;-65;-67
-53;-64;-68;-59;-59;-67;-65;-66
-53;-65;-68;-59;-59;-65;-65;-66
-53;-64;-70;-60;-59;-67;-64;-64
-53;-67;-66;-60;-59;-67;-65;-64
-53;-62;-69;-60;-59;-68;-63;-66
-52;-68;-67;-59;-59;-68;-64;-66
-53;-69;-68;-59;-59;-68;-63;-66
-53;-64;-67;-60;-59;-68;-64;-66
-52;-62;-68;-60;-59;-68;-64;-66
-53;-65;-67;-60;-59;-68;-62;-66
-52;-65;-68;-60;-59;-68;-65;-64
-53;-68;-68;-60;-59;-68;-65;-64
-53;-67;-67;-60;-56;-68;-64;-66
-53;-65;-67;-60;-59;-68;-64;-66
-52;-66;-68;-59;-59;-68;-63;-67
-52;-66;-67;-60;-59;-68;-62;-66
-53;-66;-67;-59;-59;-65;-62;-67
-53;-67;-67;-59;-56;-68;-63;-67
-53;-66;-68;-57;-59;-68;-64;-66
-53;-66;-68;-60;-59;-68;-63;-66
-53;-66;-68;-60;-59;-68;-64;-66
-53;-66;-68;-60;-59;-68;-64;-66
-53;-66;-68;-60;-59;-68;-64;-66
-53;-66;-68;-59;-59;-68;-64;-66
-52;-66;-66;-59;-59;-68;-64;-66
-52;-66;-69;-60;-59;-68;-64;-66
-52;-66;-66;-60;-59;-65;-65;-66
-52;-66;-69;-60;-59;-68;-64;-66
-52;-66;-66;-60;-59;-68;-64;-66
-54;-66;-69;-60;-59;-68;-64;-66
-53;-65;-69;-60;-59;-68;-64;-66
-53;-68;-69;-60;-59;-68;-64;-66
-53;-63;-69;-59;-59;-68;-64;-66
-53;-66;-66;-59;-59;-68;-64;-63
-53;-65;-66;-60;-59;-68;-64;-66
-53;-65;-68;-59;-59;-68;-64;-66
-53;-65;-68;-59;-59;-68;-64;-66
-53;-66;-68;-60;-59;-68;-64;-66
-52;-67;-68;-59;-59;-68;-64;-66
-53;-66;-68;-59;-59;-68;-64;-66
-53;-67;-68;-59;-59;-68;-64;-66
-53;-68;-68;-59;-59;-68;-64;-66
-53;-68;-68;-59;-59;-68;-64;-66
-50;-68;-68;-59;-59;-68;-64;-66
-52;-68;-68;-59;-59;-67;-64;-67
-53;-66;-65;-60;-59;-68;-64;-66
-53;-68;-68;-59;-59;-68;-64;-66
-53;-68;-67;-60;-59;-68;-64;-66
-53;-68;-68;-60;-59;-68;-64;-66
-53;-68;-68;-59;-59;-68;-64;-66
-53;-68;-68;-59;-59;-68;-64;-66
-53;-68;-68;-59;-59;-65;-64;-64
-53;-68;-68;-59;-59;-65;-64;-64
-53;-68;-68;-59;-59;-68;-64;-67
-53;-68;-68;-59;-59;-65;-64;-67
-53;-68;-68;-59;-59;-68;-64;-67
-53;-68;-68;-59;-59;-68;-64;-65
-53;-65;-68;-59;-59;-68;-64;-66
-54;-68;-68;-59;-59;-67;-64;-66
-53;-68;-68;-59;-59;-68;-64;-66
-54;-68;-67;-59;-59;-68;-64;-66
-53;-69;-68;-59;-59;-68;-64;-66
-51;-69;-68;-59;-60;-68;-64;-66
-54;-68;-65;-59;-59;-68;-64;-66
-54;-68;-65;-59;-59;-68;-64;-66
-54;-68;-68;-59;-59;-68;-64;-66
-53;-68;-68;-59;-59;-65;-65;-66
-53;-68;-68;-59;-59;-68;-62;-66
-53;-68;-68;-59;-59;-68;-64;-66
-53;-68;-65;-59;-59;-68;-64;-66
-54;-68;-68;-59;-59;-68;-64;-66
-53;-68;-68;-59;-59;-68;-64;-66
-54;-68;-66;-59;-59;-65;-63;-66
-53;-68;-69;-59;-59;-67;-65;-66
-53;-68;-66;-59;-59;-68;-64;-66
