RSSI 5 metri;RTT 5 metri;;RSSI 10 metri;RTT 10 metri;;RSSI 15 metri;RTT 15 metri;;RSSI 20 metri;RTT 20 metri;;RSSI 25 metri;RTT  25 metri;;RSSI 30 metri ;RTT 30 metri;;RSSI  35 metri;RTT 35 metri;;RSSI 40 metri;RTT 40 metri
-54;6,73;;-66;18,2;;-65;5,85;;-59;4,73;;-59;5,52;;-67;5,59;;-64;7,19;;-65;4,74
-48;4,26;;-68;5,51;;-65;7,85;;-59;4,1;;-59;4,91;;-67;4,39;;-64;4,07;;-65;3,99
-49;4,82;;-72;14,7;;-66;5,7;;-59;4,72;;-58;4,93;;-67;4,14;;-66;4,06;;-66;4,55
-48;7;;-65;16,8;;-67;5,71;;-59;4,57;;-58;5,4;;-75;4,02;;-65;4,4;;-65;7,05
-52;4,05;;-72;6,33;;-68;5,64;;-59;4,26;;-58;7,21;;-65;4,87;;-66;5,43;;-65;6,58
-50;7,03;;-66;5,93;;-66;5,25;;-59;4,24;;-58;5,73;;-67;7,89;;-67;4,71;;-66;3,96
-50;6,67;;-68;12,6;;-65;5,47;;-59;4,81;;-58;5,31;;-67;4,09;;-65;4,56;;-63;4,86
-48;4,03;;-73;13,1;;-67;5,79;;-59;4,4;;-58;5,02;;-69;4,31;;-66;4,83;;-66;4,73
-51;4,64;;-67;14,3;;-66;5,64;;-55;4,67;;-58;7,3;;-64;4,1;;-63;5,99;;-67;4,64
-51;4,83;;-69;10,4;;-69;5,85;;-60;4,71;;-58;5,71;;-65;7,66;;-63;4,74;;-67;4,45
-51;4,91;;-64;6,16;;-71;5,63;;-60;4,44;;-59;5,87;;-69;4,51;;-61;4,22;;-66;6,03
-53;4,43;;-66;5,89;;-67;5,53;;-60;7,5;;-59;5,73;;-67;4,48;;-63;4,72;;-65;4
-52;4,86;;-64;11,2;;-66;5,8;;-60;4,83;;-59;5,65;;-68;4,77;;-65;4,15;;-66;4,78
-52;4,27;;-64;6,13;;-67;5,8;;-60;4,72;;-59;7,81;;-68;4,77;;-65;7,27;;-65;4,37
-52;4,42;;-65;6,79;;-65;5,45;;-60;4,31;;-59;8,01;;-67;4,39;;-65;5,09;;-67;4,24
-53;4,59;;-66;6,21;;-67;5,54;;-60;4,01;;-59;4,94;;-67;4,19;;-64;4,02;;-66;4,53
-52;7,43;;-66;8,94;;-66;5,48;;-60;6,43;;-58;5,09;;-65;4,96;;-62;4,84;;-66;4,85
-53;7,23;;-65;5,98;;-66;7,73;;-60;4,53;;-59;5,83;;-67;4,62;;-62;4,61;;-68;4,69
-53;6,86;;-63;5,31;;-68;5,84;;-60;4,87;;-59;5,8;;-68;5,97;;-64;4,82;;-67;4,01
-53;3,93;;-65;5,37;;-68;5,73;;-60;4,11;;-59;5,15;;-67;8,13;;-62;4,8;;-67;4,91
-53;4,04;;-64;6,3;;-66;5,41;;-60;3,99;;-59;5,71;;-68;4,87;;-62;4,63;;-66;4,08
-52;4,85;;-68;5,65;;-67;5,31;;-60;4,02;;-59;7;;-67;4,4;;-63;4,04;;-64;7,03
-54;4,23;;-69;5,79;;-66;5,73;;-60;4,23;;-59;8,07;;-68;4,31;;-63;4,73;;-66;4,88
-53;4,8;;-66;5,03;;-67;7,29;;-60;4,04;;-59;5,76;;-65;7,6;;-62;4,35;;-66;4,73
-53;4,7;;-66;8,66;;-66;5,57;;-60;4,58;;-59;5,66;;-67;4,77;;-64;4,37;;-66;4,36
-54;3,92;;-65;5,5;;-68;5,41;;-60;4,82;;-59;5,33;;-67;4,51;;-64;4,52;;-66;4,81
-53;4,64;;-68;5,4;;-68;5,76;;-60;6,28;;-59;6;;-67;4,71;;-63;4,77;;-66;4,71
